Date,Close/Last,Volume,Open,High,Low
07/19/2023,$57.68,4085483,$56.80,$57.86,$56.395
07/18/2023,$56.35,4393769,$52.76,$56.35,$52.76
07/17/2023,$52.47,1656542,$52.66,$53.5099,$52.36
07/14/2023,$52.68,2118366,$54.10,$54.24,$52.21
07/13/2023,$54.07,2335280,$54.11,$55.0705,$53.68
07/12/2023,$53.23,2457878,$53.59,$54.13,$52.54
07/11/2023,$52.25,2356436,$51.09,$52.40,$50.91
07/10/2023,$50.73,3077207,$49.20,$51.015,$49.20
07/07/2023,$49.16,2239247,$47.33,$49.565,$47.30
07/06/2023,$47.325,2563069,$48.26,$48.34,$46.76
07/05/2023,$49.23,2037346,$50.39,$50.39,$48.815
07/03/2023,$50.60,1411221,$51.04,$51.685,$50.57
06/30/2023,$50.97,3301873,$50.50,$51.55,$50.125
06/29/2023,$49.77,2025453,$48.28,$49.815,$48.13
06/28/2023,$48.07,1912672,$47.96,$48.635,$47.75
06/27/2023,$48.27,2254199,$46.79,$48.47,$46.26
06/26/2023,$46.78,2796183,$44.94,$47.05,$44.81
06/23/2023,$45.21,4625892,$45.22,$45.595,$44.8103
06/22/2023,$46.40,2755636,$48.27,$48.28,$46.25
06/21/2023,$48.43,1480217,$48.69,$49.23,$48.06
06/20/2023,$49.19,1882547,$48.28,$49.29,$47.69
